,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,7,7,-1.0,0.0,-83.9999999916,1,0.9999999999,0.020408163263265305,-2.879061797533082e-33,-1.7142857141142858,mbr
1,7,7,-1.0,0.1,-84.07371252333273,1,-0.9995292828776634,-0.02034847395571888,-0.029739770211512983,-1.7157900514965863,mbr
2,7,7,-1.0,0.2,-84.28531316682651,1,-0.3723093775412536,-0.007534594690144049,-0.055798244034542865,-1.7201084319760513,mbr
3,7,7,-1.0,0.30000000000000004,-84.61158922043987,1,0.0052126117986872325,0.00010479106988149826,-0.07644794743509281,-1.7267671269477525,mbr
4,7,7,-1.0,0.4,-85.0259589269793,1,-0.01039456167548238,-0.00020783227820105247,-0.09189272907829969,-1.7352236515710062,mbr
5,7,7,-1.0,0.5,-85.50535619756984,1,-0.007829294058585562,-0.00015596999866374217,-0.10318511962158204,-1.74500726933816,mbr
6,7,7,-1.0,0.6000000000000001,-86.03221788529946,1,-0.00030458596333135735,-6.0552239749650365e-06,-0.11143523745427363,-1.7557595486795807,mbr
7,7,7,-1.0,0.7000000000000001,-86.59391084301069,1,0.0036486647407774713,7.247128865354824e-05,-0.11752743180843636,-1.7672226702655243,mbr
8,7,7,-1.0,0.8,-87.18151069686331,1,-0.0008080678880602683,-1.6048448552230935e-05,-0.12209718630979391,-1.7792145040176186,mbr
9,7,7,-1.0,0.9,-87.78870249457691,1,-0.0003926390749988555,-7.800931601722641e-06,-0.12558438315047668,-1.7916061733587125,mbr
10,7,7,-1.0,1.0,-88.41096783525556,1,-0.0003476230348831981,-6.911248615154763e-06,-0.12829108309046675,-1.8043054660256237,mbr
11,7,7,-1.0,1.1,-89.04502442069679,1,0.0006924750004078081,1.3778979726186823e-05,-0.1304259225914109,-1.8172453963407509,mbr
12,7,7,-1.0,1.2000000000000002,-89.68844837772767,1,-7.357200286015751e-05,-1.4652911925204897e-06,-0.13213478656174926,-1.8303764975046464,mbr
13,7,7,-1.0,1.3,-90.33942023589135,1,6.369088404074092e-08,1.2696896844573465e-09,-0.13352121973124428,-1.8436616374671704,mbr
14,7,7,-1.0,1.4000000000000001,-90.996552709535,1,0.00022480147869668063,4.485646480366755e-06,-0.13465988305029689,-1.8570725042762244,mbr
15,7,7,-1.0,1.5,-91.65877246344006,1,-2.5822462567364977e-05,-5.157241443641392e-07,-0.13560545777939653,-1.8705871931314297,mbr
16,7,7,-1.0,1.6,-92.32523775340916,1,-2.2364286205283066e-09,-4.4704636817823764e-11,-0.13639859649201827,-1.8841885255797788,mbr
17,7,7,-1.0,1.7000000000000002,-92.99528018539748,1,3.129360893781866e-05,6.260546650263889e-07,-0.1370699522623365,-1.8978628609264792,mbr
18,7,7,-1.0,1.8,-93.66836291232983,1,1.71651023691011e-05,3.436708348726455e-07,-0.13764294572414468,-1.911599243108772,mbr
19,7,7,-1.0,1.9000000000000001,-94.34405020257502,1,4.8486617366055396e-06,9.714901599347929e-08,-0.13813570012214016,-1.925388779644388,mbr
20,7,7,-1.0,2.0,-97.99999999040617,1,6.474762097589774e-15,1.6731777794101355e-15,-0.9999999998446014,-1.9999999998042075,mbr
21,7,7,-1.0,2.1,-102.89999998980319,1,-1.3218796477275609e-14,7.609230920957904e-16,-0.9999999998901868,-2.0999999997919017,mbr
22,7,7,-1.0,2.2,-107.79999998928197,1,-3.571491510959301e-16,4.012098189857075e-17,-0.999999999895943,-2.199999999781265,mbr
23,7,7,-1.0,2.3000000000000003,-112.69999998877682,1,3.7883796048107073e-16,1.1661434458062448e-16,-0.9999999998977536,-2.2999999997709555,mbr
24,7,7,-1.0,2.4000000000000004,-117.59999998827868,1,-9.206066733819212e-16,-1.2283386320328523e-17,-0.9999999998985589,-2.3999999997607895,mbr
25,7,7,-1.0,2.5,-122.49999998778223,1,-2.0116887988216445e-15,-6.262568012906657e-16,-0.9999999998989901,-2.4999999997506577,mbr
26,7,7,-1.0,2.6,-127.39999998728862,1,5.939143012040929e-16,-2.329336664260133e-16,-0.9999999998992493,-2.599999999740584,mbr
27,7,7,-1.0,2.7,-132.2999999867951,1,4.623457517758267e-16,2.711348598003549e-16,-0.9999999998994186,-2.6999999997305117,mbr
28,7,7,-1.0,2.8000000000000003,-137.19999998630206,1,-4.505673896553365e-16,-7.429329132266515e-16,-0.9999999998995351,-2.79999999972045,mbr
29,7,7,-1.0,2.9000000000000004,-142.09999998581054,1,4.367071900775166e-18,4.522675735253195e-16,-0.9999999998996187,-2.899999999710419,mbr
30,7,7,-1.0,3.0,-146.99999998531942,1,3.204092836081191e-16,5.384705330083157e-16,-0.9999999998996817,-2.999999999700396,mbr
31,7,7,-1.0,3.1,-151.89999998482662,1,6.325277470830684e-16,1.919016037345898e-16,-0.9999999998997304,-3.0999999996903393,mbr
32,7,7,-1.0,3.2,-156.79999998433598,1,6.741363237084628e-16,-2.8581121336386884e-17,-0.9999999998997685,-3.199999999680326,mbr
33,7,7,-1.0,3.3000000000000003,-161.69999998384554,1,-3.52155293731963e-16,1.8103014973354293e-16,-0.9999999998997983,-3.2999999996703173,mbr
34,7,7,-1.0,3.4000000000000004,-166.5999999833533,1,-4.0339610943950586e-16,-1.9425662915645406e-16,-0.9999999998998232,-3.3999999996602717,mbr
35,7,7,-1.0,3.5,-171.49999998286305,1,-1.808956044105068e-15,3.9481810230841746e-16,-0.9999999998998436,-3.4999999996502664,mbr
36,7,7,-1.0,3.6,-176.39999998237286,1,-7.192543102231798e-16,-4.33193847214046e-18,-0.9999999998998603,-3.5999999996402625,mbr
37,7,7,-1.0,3.7,-181.29999998188188,1,-1.3021250572692403e-15,-4.1598731654426427e-16,-0.9999999998998748,-3.6999999996302426,mbr
38,7,7,-1.0,3.8000000000000003,-186.19999998139085,1,2.4565339223708092e-15,-2.800673875325868e-16,-0.9999999998998872,-3.7999999996202214,mbr
39,7,7,-1.0,3.9000000000000004,-191.09999998090098,1,-3.7287845394337833e-17,3.628635536699371e-16,-0.9999999998998974,-3.899999999610224,mbr
40,7,7,-1.0,4.0,-195.99999998041113,1,1.3489564856184881e-16,-1.5832484234307653e-16,-0.9999999998999061,-3.9999999996002273,mbr
41,7,7,-1.0,4.1000000000000005,-200.89999997991924,1,-1.5300841978946541e-15,6.061849062107312e-16,-0.9999999998999144,-4.099999999590189,mbr
42,7,7,-1.0,4.2,-205.79999997942943,1,1.0686762114997815e-15,-9.680635275534478e-17,-0.9999999998999214,-4.199999999580193,mbr
43,7,7,-1.0,4.3,-210.69999997893962,1,3.2140632959786095e-16,1.2161848091101776e-16,-0.9999999998999276,-4.299999999570196,mbr
44,7,7,-1.0,4.4,-215.59999997844798,1,2.0963128917514444e-16,-7.20964024763535e-18,-0.999999999899933,-4.399999999560163,mbr
45,7,7,-1.0,4.5,-220.4999999779582,1,9.867902136705283e-16,-6.970149788274462e-16,-0.9999999998999377,-4.499999999550167,mbr
46,7,7,-1.0,4.6000000000000005,-225.39999997746864,1,-7.518334017628797e-16,-3.8363344455151976e-17,-0.9999999998999421,-4.599999999540176,mbr
47,7,7,-1.0,4.7,-230.2999999769778,1,8.195845682880755e-16,-3.013073861001055e-16,-0.9999999998999459,-4.699999999530159,mbr
48,7,7,-1.0,4.800000000000001,-235.19999997648722,1,-9.257581658091767e-16,4.0882223302789624e-17,-0.9999999998999494,-4.799999999520147,mbr
49,7,7,-1.0,4.9,-240.09999997599755,1,-8.759040502543576e-16,3.595343100175908e-16,-0.9999999998999525,-4.899999999510154,mbr
50,7,7,-1.0,5.0,-244.9999999755079,1,-1.6308392539181217e-17,-1.308338146691888e-16,-0.9999999998999554,-4.999999999500162,mbr
